RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
4630953558,Female,,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630951685,Female,Hispanic or Latino,36-45,6-10 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4630950508,Other,Black or African American,26-35,,3-4 times per week,3-4 times per week,,1-2 times per week,3-4 days per week,,,,,,,Exercise (not on a stationary bike)
4630948061,Female,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4630945878,Male,Hispanic or Latino,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4630944283,Female,Hispanic or Latino,26-35,11-20 miles,5+ times per week,,,,1-2 times per month,,No,"Yes, walking",,,Recreation,
4630941410,Female,Asian,Over 56,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4630939123,Female,Other (please specify),36-45,,,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4630933175,Female,Hispanic or Latino,Over 56,6-10 miles,5+ times per week,Never,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4630572888,Male,Hispanic or Latino,26-35,,,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4630570048,Male,Black or African American,46-55,6-10 miles,3-4 times per week,,1-2 times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4630401528,Male,White,46-55,,,,,,1-2 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630395620,Male,Asian,,,,,,,1-2 days per week,,Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630389883,Male,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,Never,1-2 times per month,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4630338525,Male,Asian,46-55,11-20 miles,1-2 times per month,,3-4 times per week,Never,1-2 days per week,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630321422,Male,Asian,18-25,,,,,,5+ days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630316269,Male,Asian,46-55,Over 20 miles,,,1-2 times per week,,,Yes,No,,,,,Exercise (not on a stationary bike)
4630309760,Male,Asian,18-25,Over 20 miles,,,,,1-2 times per month,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4630305662,Male,White,Over 56,11-20 miles,3-4 times per week,,,,,,No,No,,,Recreation,Exercise (not on a stationary bike)
4630299110,Female,White,Over 56,Under 2 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4630294960,Female,Hispanic or Latino,46-55,,5+ times per week,5+ times per week,5+ times per week,5+ times per week,1-2 times per month,No,,,,,Recreation,
4630290715,Female,White,Over 56,6-10 miles,5+ times per week,,,,1-2 times per month,,No,No,,,Recreation,Exercise (not on a stationary bike)
4630286163,Male,Hispanic or Latino,46-55,2-5 miles,3-4 times per week,,,,3-4 days per week,Yes,,,,,,Exercise (not on a stationary bike)
4630281360,Female,Hispanic or Latino,Over 56,11-20 miles,3-4 times per week,1-2 times per week,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4630274690,Male,Hispanic or Latino,46-55,,,,,,5+ days per week,No,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630263308,Female,Hispanic or Latino,46-55,Under 2 miles,5+ times per week,1-2 times per month,,,,No,No,No,,,,
4630257562,Male,White,18-25,Under 2 miles,Never,Never,1-2 times per week,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630252443,Female,Decline to state,18-25,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,
4630245354,Male,White,18-25,Under 2 miles,1-2 times per month,Never,1-2 times per month,1-2 times per month,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4630239709,Female,White,18-25,Under 2 miles,Never,Never,3-4 times per week,3-4 times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4630233437,Female,White,18-25,Under 2 miles,1-2 times per month,1-2 times per month,1-2 times per month,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
4630226609,Male,White,18-25,2-5 miles,5+ times per week,1-2 times per week,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, walking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630217139,Male,White,18-25,Under 2 miles,Never,Never,1-2 times per week,5+ times per week,1-2 days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4630210150,Female,Hispanic or Latino,18-25,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630205104,Female,White,18-25,,3-4 times per week,,1-2 times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4630198018,Female,White,18-25,Under 2 miles,Never,Never,3-4 times per week,3-4 times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4630187849,Male,Hispanic or Latino,18-25,11-20 miles,1-2 times per month,1-2 times per week,5+ times per week,1-2 times per month,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630178280,Male,White,18-25,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630169848,Female,White,18-25,Under 2 miles,Never,Never,Never,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630160089,Female,White,18-25,2-5 miles,Never,Never,1-2 times per week,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4607871196,Female,White,46-55,6-10 miles,1-2 times per week,1-2 times per week,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607856760,Female,Asian,36-45,6-10 miles,5+ times per week,Never,Never,Never,,,No,No,,,,Exercise (not on a stationary bike)
4607842759,Female,White,36-45,,,,,5+ times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4607838283,Male,Hispanic or Latino,36-45,,,,,,,No,,,,,,Exercise (not on a stationary bike)
4607824853,Female,Asian,26-35,Over 20 miles,3-4 times per week,,,,,,No,No,,Be Environmentally Friendly,Recreation,
4607816798,Female,Hispanic or Latino,46-55,,,,,,1-2 times per month,No,Yes,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
4607811119,Male,Hispanic or Latino,46-55,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607807456,Female,Decline to state,46-55,Over 20 miles,5+ times per week,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4607803488,Male,Hispanic or Latino,26-35,11-20 miles,Never,5+ times per week,1-2 times per week,Never,1-2 times per month,,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4607799461,Male,Asian,46-55,11-20 miles,1-2 times per week,1-2 times per month,5+ times per week,Never,1-2 days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607784384,Female,Asian,18-25,Under 2 miles,3-4 times per week,1-2 times per month,Never,3-4 times per week,,,Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607779422,Female,Hispanic or Latino,36-45,6-10 miles,5+ times per week,Never,Never,Never,1-2 times per month,,No,No,,,Recreation,
4607774017,Female,Hispanic or Latino,26-35,,Never,Never,1-2 times per month,1-2 times per week,1-2 times per month,Yes,Yes,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607766626,Female,Hispanic or Latino,26-35,,,,,,1-2 days per week,,No,No,,Be Environmentally Friendly,,
4607755622,Female,Black or African American,Over 56,6-10 miles,5+ times per week,Never,Never,3-4 times per week,,,No,No,,,,Exercise (not on a stationary bike)
4607752013,Male,White,46-55,11-20 miles,3-4 times per week,,,,,Yes,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607747796,Male,Hispanic or Latino,46-55,,,,1-2 times per month,,1-2 days per week,Yes,,,,,,Exercise (not on a stationary bike)
4607743490,Female,White,Over 56,,,,,,,,No,No,,,Recreation,Exercise (not on a stationary bike)
4607739487,Male,White,Over 56,,,,,,,,Yes,No,,Be Environmentally Friendly,,
4607736599,Female,Hispanic or Latino,Over 56,,,,,,1-2 times per month,,No,No,,,,Exercise (not on a stationary bike)
4607734855,Female,Black or African American,46-55,2-5 miles,1-2 times per month,5+ times per week,1-2 times per month,5+ times per week,,,,,To commute to school or work,Be Environmentally Friendly,,
4607730977,Male,Asian,Over 56,11-20 miles,5+ times per week,,,,1-2 days per week,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4607706283,Female,White,Over 56,,,,,,5+ days per week,No,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4607702741,Male,Asian,36-45,6-10 miles,3-4 times per week,3-4 times per week,,,1-2 times per month,,No,No,To commute to school or work,,,
4607698573,Female,Asian,36-45,,1-2 times per month,1-2 times per month,1-2 times per month,1-2 times per month,1-2 days per week,No,No,,,,,Exercise (not on a stationary bike)
4607691828,Female,White,Over 56,,,,,5+ times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,,Recreation,Exercise (not on a stationary bike)
4607688114,Female,Asian,26-35,Over 20 miles,5+ times per week,Never,Never,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607683350,Female,Hispanic or Latino,46-55,,,,,,5+ days per week,,,,,,Recreation,
4607673211,Male,Asian,46-55,,5+ times per week,1-2 times per month,Never,1-2 times per month,1-2 times per month,Yes,Yes,"Yes, walking",,,,
4607669440,Male,Asian,18-25,6-10 miles,Never,5+ times per week,Never,Never,1-2 times per month,,,"Yes, biking",To commute to school or work,,,
4607665990,Female,Asian,18-25,,5+ times per week,1-2 times per month,,5+ times per week,,,,,To commute to school or work,,,
4607661533,Male,White,Over 56,,,,,,5+ days per week,,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4607658136,Male,,36-45,,5+ times per week,Never,,,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,,,
4607651921,Male,Asian,26-35,6-10 miles,3-4 times per week,,,,,,No,,To commute to school or work,,Recreation,
4607645025,Male,Asian,36-45,6-10 miles,,3-4 times per week,,,1-2 days per week,No,No,No,,,,
4598148842,Male,Asian,46-55,Under 2 miles,5+ times per week,,,,,Yes,,,,Be Environmentally Friendly,,
4598147812,Female,Asian,13-17,2-5 miles,,1-2 times per month,,,3-4 days per week,No,Yes,"Yes, walking",To commute to school or work,,,
4598146380,Female,Asian,46-55,11-20 miles,1-2 times per week,5+ times per week,,5+ times per week,,,No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4598145605,Female,,Over 56,,,,,,,,,,,,Recreation,
4598144806,Female,,46-55,11-20 miles,3-4 times per week,,,,,Yes,Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4598143968,Male,Decline to state,Over 56,Over 20 miles,5+ times per week,,,,1-2 times per month,,No,No,,,Recreation,
4598142866,Female,Asian,26-35,,,,,,,,No,"Yes, walking",To commute to school or work,,,
4598141835,Female,Hispanic or Latino,Over 56,Over 20 miles,5+ times per week,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4598140219,Female,Hispanic or Latino,18-25,,3-4 times per week,1-2 times per month,Never,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,
4598139212,Male,White,Over 56,,,,,,5+ days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4598137828,Male,Asian,18-25,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4598136715,Female,Hispanic or Latino,46-55,Under 2 miles,,,3-4 times per week,,3-4 days per week,Yes,No,"Yes, biking",,,,Exercise (not on a stationary bike)
4598135731,Male,Asian,36-45,11-20 miles,1-2 times per week,1-2 times per week,1-2 times per week,,,No,No,No,To commute to school or work,,,
4598134815,Male,White,26-35,Over 20 miles,1-2 times per week,,,,3-4 days per week,,No,No,,,,
4598132324,Male,,26-35,,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4598131483,Male,Hispanic or Latino,18-25,2-5 miles,Never,5+ times per week,5+ times per week,5+ times per week,1-2 days per week,No,No,No,,,,
4598130535,Female,Hispanic or Latino,46-55,,,,,,,No,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4598128563,Female,Hispanic or Latino,18-25,2-5 miles,5+ times per week,,,,,,No,No,,,,
4598127332,Female,Hispanic or Latino,36-45,6-10 miles,3-4 times per week,,,,3-4 days per week,Yes,Yes,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4598126108,Female,Hispanic or Latino,Over 56,Under 2 miles,,,,Never,1-2 times per month,No,,No,,,Recreation,
4598125133,Female,Hispanic or Latino,Over 56,,,,,,5+ days per week,,No,No,,Be Environmentally Friendly,,
4598124558,Male,Hispanic or Latino,46-55,Under 2 miles,5+ times per week,5+ times per week,5+ times per week,5+ times per week,5+ days per week,,,,,,Recreation,
4598123282,Female,Black or African American,Over 56,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4598122216,Female,Hispanic or Latino,36-45,11-20 miles,5+ times per week,,,,,No,Yes,"Yes, walking",To commute to school or work,,,Exercise (not on a stationary bike)
4598121243,Male,White,46-55,11-20 miles,5+ times per week,,,,,,,,To commute to school or work,,,
4589922439,Female,White,46-55,,,,,,1-2 times per month,Yes,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4589918940,Female,Hispanic or Latino,,11-20 miles,5+ times per week,,,,5+ days per week,Yes,Yes,"Yes, walking",,,,
4589914440,Female,Hispanic or Latino,Over 56,2-5 miles,,5+ times per week,,,,No,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4589821736,Male,Hispanic or Latino,Over 56,11-20 miles,,5+ times per week,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4589808351,Male,,18-25,2-5 miles,1-2 times per month,3-4 times per week,3-4 times per week,5+ times per week,5+ days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4589802933,Female,Hispanic or Latino,36-45,Over 20 miles,Never,Never,Never,Never,,Yes,No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4589798335,Female,Asian,36-45,6-10 miles,,5+ times per week,,,,,No,No,To commute to school or work,,,
4589792761,Male,,46-55,2-5 miles,Never,5+ times per week,5+ times per week,5+ times per week,5+ days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4589786929,Male,Hispanic or Latino,26-35,11-20 miles,5+ times per week,,,,1-2 days per week,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4589783449,Male,White,Over 56,6-10 miles,Never,3-4 times per week,3-4 times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4589778102,Male,Hispanic or Latino,Over 56,,,,,,,,No,No,,,,Exercise (not on a stationary bike)
4589774597,Female,Decline to state,46-55,6-10 miles,5+ times per week,Never,Never,Never,,,No,No,,,Recreation,
4589763678,Female,Asian,26-35,2-5 miles,3-4 times per week,,1-2 times per week,,1-2 times per month,,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4589758229,Male,White,36-45,Under 2 miles,5+ times per week,1-2 times per month,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4589750701,Male,,26-35,6-10 miles,3-4 times per week,Never,Never,Never,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4589739380,Female,,46-55,,,,,,,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4589732715,Female,Asian,36-45,6-10 miles,,3-4 times per week,,,3-4 days per week,Yes,No,No,To commute to school or work,,,
4570086105,Female,Hispanic or Latino,Over 56,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4570082124,Female,White,46-55,6-10 miles,,1-2 times per week,1-2 times per month,1-2 times per week,1-2 days per week,,Yes,"Yes, biking",To commute to school or work,,,
4570071108,Female,Hispanic or Latino,46-55,,,,,,,,No,No,,,,Exercise (not on a stationary bike)
4570065026,Female,Hispanic or Latino,26-35,,5+ times per week,1-2 times per week,,,1-2 days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4570055954,Male,Asian,Over 56,6-10 miles,1-2 times per week,,1-2 times per month,,1-2 times per month,No,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,
4570044591,Male,White,46-55,6-10 miles,3-4 times per week,1-2 times per month,,,3-4 days per week,No,,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4570039468,Female,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4570032381,Male,Hispanic or Latino,18-25,6-10 miles,5+ times per week,,1-2 times per week,1-2 times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4570018235,Male,White,Over 56,,,,,,,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4569999234,Male,Hispanic or Latino,Under 13,Under 2 miles,Never,Never,Never,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,
4569983964,Male,Decline to state,Under 13,Under 2 miles,5+ times per week,Never,1-2 times per week,Never,3-4 days per week,,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4569968950,Female,Hispanic or Latino,46-55,,,,,,,,Yes,"Yes, biking",,,,Exercise (not on a stationary bike)
4569959546,Male,Hispanic or Latino,26-35,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
